mechanism,missing_rate,repetition,method,term,estimate,std.error,conf.low,conf.high,true_estimate,bias,ci_width,ci_cover
MAR,0.1,1,complete_case,(Intercept),4.566585523929298,0.322753560495156,3.9325467844895035,5.200624263369093,4.0349672958498015,0.5316182280794965,1.2680774788795897,1
MAR,0.1,1,complete_case,age,0.019988629364715675,0.002725355420215558,0.014634758403515797,0.025342500325915555,0.01753512986073419,0.0024534995039814864,0.010707741922399759,1
MAR,0.1,1,complete_case,bmi,0.02567646745847679,0.006326566224698388,0.013248136480698626,0.03810479843625495,0.02897241650381511,-0.0032959490453383193,0.024856661955556324,1
MAR,0.1,1,complete_case,income_ratio,-0.06263713384440256,0.026088814480358415,-0.1138877506345878,-0.011386517054217324,-0.05343704488580892,-0.009200088958593637,0.10250123358037047,1
MAR,0.1,1,complete_case,sexFemale,-0.24409369342322748,0.08343760030921646,-0.4080041111449586,-0.08018327570149639,-0.09307566573776974,-0.15101802768545775,0.3278208354434622,1
MAR,0.1,1,complete_case,smoking_statusYes,-0.11937719883867312,0.08524510219695168,-0.2868383944873045,0.048083996809958285,-0.022120133000263893,-0.09725706583840923,0.3349223912972628,1
MAR,0.1,1,complete_case,systolic_bp,-0.0013051257831172066,0.0025311080643687267,-0.006277404211451792,0.0036671526452173794,0.0020175183065907756,-0.003322644089707982,0.009944556856669172,1
MAR,0.1,2,complete_case,(Intercept),3.5936827018510837,0.29516216824349467,3.013856359644952,4.173509044057215,4.0349672958498015,-0.4412845939987178,1.1596526844122628,1
MAR,0.1,2,complete_case,age,0.014814810944808873,0.002671491805252969,0.00956684393436317,0.020062777955254574,0.01753512986073419,-0.002720318915925316,0.010495934020891403,1
MAR,0.1,2,complete_case,bmi,0.030194583632724818,0.005729138787314379,0.018940073588946595,0.04144909367650304,0.02897241650381511,0.001222167128909709,0.022509020087556446,1
MAR,0.1,2,complete_case,income_ratio,-0.05486723861968209,0.02576956298523608,-0.10548982190973852,-0.004244655329625667,-0.05343704488580892,-0.0014301937338731668,0.10124516658011284,1
MAR,0.1,2,complete_case,sexFemale,-0.05006087688939107,0.08168895015321195,-0.21053335697675002,0.11041160319796789,-0.09307566573776974,0.043014788848378664,0.3209449601747179,1
MAR,0.1,2,complete_case,smoking_statusYes,-0.0099119231131612,0.08459931987927818,-0.17610162991278747,0.15627778368646508,-0.022120133000263893,0.012208209887102693,0.33237941359925255,1
MAR,0.1,2,complete_case,systolic_bp,0.005859344191254184,0.0023454179570707415,0.0012519274512096945,0.010466760931298674,0.0020175183065907756,0.0038418258846634086,0.00921483348008898,1
MAR,0.1,3,complete_case,(Intercept),4.787435406565834,0.33152591761276057,4.136210329404401,5.438660483727267,4.0349672958498015,0.7524681107160323,1.302450154322866,0
MAR,0.1,3,complete_case,age,0.02075736497132307,0.002897477359727907,0.015065774006883543,0.0264489559357626,0.01753512986073419,0.003222235110588882,0.011383181928879056,1
MAR,0.1,3,complete_case,bmi,0.01937224398328035,0.006807642332651582,0.005999813148033266,0.032744674818527435,0.02897241650381511,-0.009600172520534758,0.02674486167049417,1
MAR,0.1,3,complete_case,income_ratio,-0.09165614475551666,0.02851084340088371,-0.1476607441164789,-0.03565154539455443,-0.05343704488580892,-0.038219099869707736,0.11200919872192447,1
MAR,0.1,3,complete_case,sexFemale,-0.1278016352894594,0.090117956354903,-0.3048227065331318,0.04921943595421299,-0.09307566573776974,-0.03472596955168966,0.3540421424873448,1
MAR,0.1,3,complete_case,smoking_statusYes,-0.13451688239368553,0.09300597683020556,-0.31721096819505995,0.048177203407688884,-0.022120133000263893,-0.11239674939342165,0.36538817160274883,1
MAR,0.1,3,complete_case,systolic_bp,-0.0018015972472873551,0.0026167836433947213,-0.006941814164128824,0.0033386196695541145,0.0020175183065907756,-0.0038191155538781305,0.010280433833682939,1
MAR,0.1,4,complete_case,(Intercept),4.4036118908851645,0.2745865501044116,3.8642408822183745,4.9429828995519545,4.0349672958498015,0.36864459503536295,1.07874201733358,1
MAR,0.1,4,complete_case,age,0.01671938986866092,0.002266676044382306,0.012266952763076364,0.021171826974245474,0.01753512986073419,-8.157399920732701e-4,0.00890487421116911,1
MAR,0.1,4,complete_case,bmi,0.022715539494385754,0.005567331447670057,0.01177961718730151,0.033651461801469995,0.02897241650381511,-0.006256877009429354,0.021871844614168485,1
MAR,0.1,4,complete_case,income_ratio,-0.03974075646565458,0.02264815511132743,-0.08422858102295191,0.004747068091642763,-0.05343704488580892,0.013696288420154343,0.08897564911459468,1
MAR,0.1,4,complete_case,sexFemale,-0.11798507362553369,0.07088149686809912,-0.2572177652741998,0.02124761802313245,-0.09307566573776974,-0.024909407887763954,0.2784653832973323,1
MAR,0.1,4,complete_case,smoking_statusYes,-0.012597678324903296,0.07207716541098322,-0.15417902451532076,0.12898366786551416,-0.022120133000263893,0.009522454675360597,0.2831626923808349,1
MAR,0.1,4,complete_case,systolic_bp,-5.199620571928213e-5,0.0020119202591602488,-0.004004015920915736,0.0039000235094771712,0.0020175183065907756,-0.002069514512310058,0.007904039430392907,1
MAR,0.1,5,complete_case,(Intercept),4.3891265424994454,0.2941166063131564,3.8113340232288495,4.966919061770041,4.0349672958498015,0.35415924664964393,1.1555850385411919,1
MAR,0.1,5,complete_case,age,0.019982207470200623,0.0024780631751035852,0.015114048603542488,0.02485036633685876,0.01753512986073419,0.0024470776094664345,0.00973631773331627,1
MAR,0.1,5,complete_case,bmi,0.022233920993968224,0.00546235602455362,0.01150311429745911,0.03296472769047734,0.02897241650381511,-0.006738495509846884,0.021461613393018233,1
MAR,0.1,5,complete_case,income_ratio,-0.06278560367868173,0.024445858734687204,-0.1108095302468029,-0.014761677110560562,-0.05343704488580892,-0.009348558792872809,0.09604785313624234,1
MAR,0.1,5,complete_case,sexFemale,-0.06279302706527114,0.076884398268362,-0.21383254409540353,0.08824648996486127,-0.09307566573776974,0.0302826386724986,0.3020790340602648,1
MAR,0.1,5,complete_case,smoking_statusYes,-0.09427110417297968,0.07801876821134328,-0.247539092676913,0.058996884330953625,-0.022120133000263893,-0.0721509711727158,0.3065359770078666,1
MAR,0.1,5,complete_case,systolic_bp,-3.5471187380134694e-4,0.0023315905844239443,-0.004935125113873642,0.004225701366270948,0.0020175183065907756,-0.0023722301803921226,0.00916082648014459,1
MAR,0.1,6,complete_case,(Intercept),4.562265360825278,0.354941487865126,3.8650358742053754,5.259494847445181,4.0349672958498015,0.5272980649754766,1.3944589732398054,1
MAR,0.1,6,complete_case,age,0.01990850676172033,0.002891082981175005,0.014229406482786047,0.02558760704065461,0.01753512986073419,0.00237337690098614,0.011358200557868563,1
MAR,0.1,6,complete_case,bmi,0.012841136674370547,0.006791488512403716,-4.997271321381547e-4,0.02618200048087925,0.02897241650381511,-0.01613127982944456,0.026681727613017403,0
MAR,0.1,6,complete_case,income_ratio,-0.05835291712179492,0.027671355180779154,-0.112709157308918,-0.003996676934671824,-0.05343704488580892,-0.004915872235985996,0.10871248037424619,1
MAR,0.1,6,complete_case,sexFemale,-0.10868474563445579,0.09002814793051493,-0.2855315823919148,0.0681620911230032,-0.09307566573776974,-0.015609079896686057,0.353693673514918,1
MAR,0.1,6,complete_case,smoking_statusYes,-0.04607931061072807,0.0920979656658958,-0.22699199485678706,0.13483337363533093,-0.022120133000263893,-0.023959177610464177,0.361825368492118,1
MAR,0.1,6,complete_case,systolic_bp,7.164140239683131e-4,0.002694564330251644,-0.004576654746170928,0.006009482794107554,0.0020175183065907756,-0.0013011042826224625,0.010586137540278482,1
MAR,0.1,7,complete_case,(Intercept),4.119552615929778,0.32462910012311386,3.481880327800258,4.7572249040592975,4.0349672958498015,0.08458532007997643,1.2753445762590396,1
MAR,0.1,7,complete_case,age,0.01557740430200372,0.0027556988245514818,0.010164356691111317,0.020990451912896124,0.01753512986073419,-0.0019577255587304686,0.010826095221784807,1
MAR,0.1,7,complete_case,bmi,0.022056228805724314,0.006191879987922399,0.009893455110376441,0.03421900250107219,0.02897241650381511,-0.006916187698090794,0.02432554739069575,1
