method,mechanism,missing_rate,term,mean_bias,empirical_sd,mean_model_se,ci_coverage,avg_ci_width,n_repetitions
complete_case,MCAR,0.3,sexFemale,-0.09755428854275092,0.2633658454406221,0.22474341568065045,1,0.8909871431139065,8
knn,MCAR,0.3,sexFemale,0.009965816889295973,0.04852757816899175,0.07233003292646373,1,0.2838745255872251,8
mean_mode,MCAR,0.3,sexFemale,-0.009150362690715867,0.04403762568324039,0.07167129210154762,1,0.28128915777261176,8
mice,MCAR,0.3,sexFemale,-0.0414469261970593,0.04830935255353018,0.08484982059604718,1,0.3410356542346887,8
missforest,MCAR,0.3,sexFemale,-0.0469724331314015,0.05478459931265051,0.07171045200786536,1,0.2814428491146203,8
complete_case,MAR,0.1,smoking_statusYes,-0.052043583141833,0.06829423258999764,0.08602291926656452,1,0.3379665869289791,8
knn,MAR,0.1,smoking_statusYes,-0.039185104795459516,0.04681810113730961,0.07108318041053172,1,0.278980988945298,8
mean_mode,MAR,0.1,smoking_statusYes,-0.04919597311690376,0.03555307081112339,0.07003527468330006,1,0.2748682610901835,8
mice,MAR,0.1,smoking_statusYes,-0.05596521204902239,0.03763513494176965,0.07635322494307127,1,0.30140147964788594,8
missforest,MAR,0.1,smoking_statusYes,-0.047334675421131026,0.03976457400703642,0.07048155274817669,1,0.2766197738273011,8
complete_case,MAR,0.2,smoking_statusYes,-0.10774298585361808,0.058759444785323293,0.12208881013384634,1,0.4806390936390804,8
knn,MAR,0.2,smoking_statusYes,-0.05386254339039704,0.057470114436195575,0.07219978946639818,0.875,0.28336335755727915,8
mean_mode,MAR,0.2,smoking_statusYes,-0.011459100590299667,0.0492306106497297,0.07228407707205158,1,0.28369416210830245,8
mice,MAR,0.2,smoking_statusYes,-0.0691482664135468,0.03669071777942654,0.08050606308161695,1,0.319997933744075,8
missforest,MAR,0.2,smoking_statusYes,-0.09125371028949182,0.05655450533598919,0.07157823004134957,0.875,0.2809239160172852,8
