method,mechanism,missing_rate,variable,metric,mean_value,sd_value,n_repetitions
mice,MAR,0.3,income_ratio,nrmse,1.451390752348647,0.05868222800485805,8
missforest,MAR,0.3,income_ratio,nrmse,1.041379820657653,0.02675165259523539,8
complete_case,MCAR,0.1,income_ratio,nrmse,,,0
knn,MCAR,0.1,income_ratio,nrmse,1.182927559630193,0.04249375670401164,8
mean_mode,MCAR,0.1,income_ratio,nrmse,0.9999974729936786,0.007573408930618882,8
mice,MCAR,0.1,income_ratio,nrmse,1.3165930500633396,0.07320764950320262,8
missforest,MCAR,0.1,income_ratio,nrmse,0.9896318309706295,0.027626381355858952,8
complete_case,MCAR,0.2,income_ratio,nrmse,,,0
knn,MCAR,0.2,income_ratio,nrmse,1.2089458174794505,0.04313064054483303,8
mean_mode,MCAR,0.2,income_ratio,nrmse,0.9988223622686704,0.002410742812535698,8
mice,MCAR,0.2,income_ratio,nrmse,1.4037804121369017,0.03345897946226645,8
missforest,MCAR,0.2,income_ratio,nrmse,0.9957316306415551,0.027916502073021866,8
complete_case,MCAR,0.3,income_ratio,nrmse,,,0
knn,MCAR,0.3,income_ratio,nrmse,1.218920812103081,0.04804789481683064,8
mean_mode,MCAR,0.3,income_ratio,nrmse,1.0006924766319796,0.003141651019849423,8
mice,MCAR,0.3,income_ratio,nrmse,1.372442199275417,0.06319905422254915,8
missforest,MCAR,0.3,income_ratio,nrmse,1.0355244333623441,0.02988204604359267,8
complete_case,MAR,0.1,systolic_bp,nrmse,,,0
knn,MAR,0.1,systolic_bp,nrmse,1.0209854105083074,0.04565381712555064,8
mean_mode,MAR,0.1,systolic_bp,nrmse,1.0182772780360125,0.021807704483198135,8
mice,MAR,0.1,systolic_bp,nrmse,1.2631823329036749,0.12079846625951365,8
missforest,MAR,0.1,systolic_bp,nrmse,0.9299490993437637,0.07275273959378015,8
complete_case,MAR,0.2,systolic_bp,nrmse,,,0
knn,MAR,0.2,systolic_bp,nrmse,1.0773353969400319,0.034399411157018334,8
mean_mode,MAR,0.2,systolic_bp,nrmse,1.0289826316945365,0.01675241604926038,8
mice,MAR,0.2,systolic_bp,nrmse,1.311923279362297,0.08153678255325188,8
missforest,MAR,0.2,systolic_bp,nrmse,0.984552229954195,0.033198093289112156,8
complete_case,MAR,0.3,systolic_bp,nrmse,,,0
knn,MAR,0.3,systolic_bp,nrmse,1.0635210643740927,0.012675860147603796,8
mean_mode,MAR,0.3,systolic_bp,nrmse,1.0387546565815575,0.018006940131483757,8
mice,MAR,0.3,systolic_bp,nrmse,1.3320583766516907,0.06653139777760844,8
missforest,MAR,0.3,systolic_bp,nrmse,1.0024592622862705,0.02735013584688957,8
complete_case,MCAR,0.1,systolic_bp,nrmse,,,0
knn,MCAR,0.1,systolic_bp,nrmse,1.0042027122484798,0.06041913144801062,8
mean_mode,MCAR,0.1,systolic_bp,nrmse,1.0019248486451375,0.008536360907375043,8
mice,MCAR,0.1,systolic_bp,nrmse,1.203432205789299,0.13935099889161737,8
missforest,MCAR,0.1,systolic_bp,nrmse,0.8893701940917071,0.04571794533902439,8
complete_case,MCAR,0.2,systolic_bp,nrmse,,,0
knn,MCAR,0.2,systolic_bp,nrmse,1.01906462506239,0.03450583370068394,8
mean_mode,MCAR,0.2,systolic_bp,nrmse,1.0005379416627609,0.006805624195329342,8
mice,MCAR,0.2,systolic_bp,nrmse,1.2607529606538115,0.09921261507634356,8
missforest,MCAR,0.2,systolic_bp,nrmse,0.9170621530934889,0.03163597820906555,8
complete_case,MCAR,0.3,systolic_bp,nrmse,,,0
knn,MCAR,0.3,systolic_bp,nrmse,1.0443980090058949,0.015548033685600078,8
mean_mode,MCAR,0.3,systolic_bp,nrmse,1.0001369436233376,0.0015917292915820064,8
mice,MCAR,0.3,systolic_bp,nrmse,1.2945064418189731,0.05927534619677544,8
missforest,MCAR,0.3,systolic_bp,nrmse,0.9395242388768217,0.03438399274763173,8
complete_case,MAR,0.1,sex,pfc,,,0
knn,MAR,0.1,sex,pfc,0.446750950180896,0.04434046776642601,8
mean_mode,MAR,0.1,sex,pfc,0.5212794837097738,0.048778929423872346,8
mice,MAR,0.1,sex,pfc,0.5022048730445016,0.052164631227911276,8
missforest,MAR,0.1,sex,pfc,0.4241762268279776,0.031255001751053196,8
complete_case,MAR,0.2,sex,pfc,,,0
knn,MAR,0.2,sex,pfc,0.4634966093805169,0.033426664333667415,8
mean_mode,MAR,0.2,sex,pfc,0.5154678016528382,0.02131457936360041,8
mice,MAR,0.2,sex,pfc,0.46314213214415084,0.018694084477953316,8
missforest,MAR,0.2,sex,pfc,0.4477111559048176,0.02633718822296563,8
complete_case,MAR,0.3,sex,pfc,,,0
knn,MAR,0.3,sex,pfc,0.4632949556285037,0.04121390139078237,8
mean_mode,MAR,0.3,sex,pfc,0.5276512962909495,0.035415723317438724,8
mice,MAR,0.3,sex,pfc,0.4765273191790881,0.022589103685510613,8
missforest,MAR,0.3,sex,pfc,0.455053158407254,0.02171113853203286,8
complete_case,MCAR,0.1,sex,pfc,,,0
knn,MCAR,0.1,sex,pfc,0.4514439746009562,0.05196320148590591,8
mean_mode,MCAR,0.1,sex,pfc,0.5269764997481545,0.038189020502488145,8
mice,MCAR,0.1,sex,pfc,0.48565281710161307,0.06864706899617448,8
missforest,MCAR,0.1,sex,pfc,0.43583250254806183,0.04459711416116722,8
complete_case,MCAR,0.2,sex,pfc,,,0
knn,MCAR,0.2,sex,pfc,0.45277582690536794,0.03959517262677361,8
mean_mode,MCAR,0.2,sex,pfc,0.5158790627740916,0.03459626724189079,8
mice,MCAR,0.2,sex,pfc,0.47842719729381333,0.04746307771941329,8
missforest,MCAR,0.2,sex,pfc,0.4317351561414531,0.05472509481726497,8
complete_case,MCAR,0.3,sex,pfc,,,0
knn,MCAR,0.3,sex,pfc,0.4601532218702007,0.023146022914056447,8
mean_mode,MCAR,0.3,sex,pfc,0.5069847165402109,0.01996050663160123,8
mice,MCAR,0.3,sex,pfc,0.49340243543672613,0.04956284570033307,8
missforest,MCAR,0.3,sex,pfc,0.4428010227615692,0.022028874322734496,8
complete_case,MAR,0.1,smoking_status,pfc,,,0
knn,MAR,0.1,smoking_status,pfc,0.4659496028453727,0.05690030722754577,8
mean_mode,MAR,0.1,smoking_status,pfc,0.45218405665258155,0.038847723412643906,8
mice,MAR,0.1,smoking_status,pfc,0.45827442382573724,0.04787742924214293,8
missforest,MAR,0.1,smoking_status,pfc,0.44170318561002275,0.042524709431173396,8
complete_case,MAR,0.2,smoking_status,pfc,,,0
knn,MAR,0.2,smoking_status,pfc,0.45426845373377045,0.031036603382181914,8
mean_mode,MAR,0.2,smoking_status,pfc,0.4658633554564658,0.025486033697813746,8
mice,MAR,0.2,smoking_status,pfc,0.44600596654659935,0.030751071736973785,8
missforest,MAR,0.2,smoking_status,pfc,0.42128586264377516,0.028061025199447906,8
complete_case,MAR,0.3,smoking_status,pfc,,,0
knn,MAR,0.3,smoking_status,pfc,0.4370354505611487,0.03495110019469604,8
mean_mode,MAR,0.3,smoking_status,pfc,0.44030687611049674,0.018039740814479496,8
mice,MAR,0.3,smoking_status,pfc,0.47689986729120615,0.026044242582674015,8
missforest,MAR,0.3,smoking_status,pfc,0.42036634933407324,0.026354800525307896,8
complete_case,MCAR,0.1,smoking_status,pfc,,,0
knn,MCAR,0.1,smoking_status,pfc,0.434444693122639,0.05299990115226146,8
mean_mode,MCAR,0.1,smoking_status,pfc,0.4116475815346941,0.03909534337785019,8
mice,MCAR,0.1,smoking_status,pfc,0.42243861205529654,0.044632368868431686,8
missforest,MCAR,0.1,smoking_status,pfc,0.38307691789454423,0.040727542047917537,8
complete_case,MCAR,0.2,smoking_status,pfc,,,0
knn,MCAR,0.2,smoking_status,pfc,0.41476845764028053,0.027302332990003415,8
mean_mode,MCAR,0.2,smoking_status,pfc,0.43195505323047606,0.012338192151447602,8
mice,MCAR,0.2,smoking_status,pfc,0.45475519979918766,0.03497205184345395,8
missforest,MCAR,0.2,smoking_status,pfc,0.40391807899133025,0.03340239671192926,8
complete_case,MCAR,0.3,smoking_status,pfc,,,0
knn,MCAR,0.3,smoking_status,pfc,0.45310048150048793,0.027395799858113114,8
mean_mode,MCAR,0.3,smoking_status,pfc,0.4408681834576453,0.030661013788191565,8
mice,MCAR,0.3,smoking_status,pfc,0.45750840005485877,0.023810127323853906,8
missforest,MCAR,0.3,smoking_status,pfc,0.44155447646382623,0.04367603512484518,8
complete_case,MAR,0.1,age,rmse,,,0
knn,MAR,0.1,age,rmse,17.29416275359741,1.2068276340203636,8
mean_mode,MAR,0.1,age,rmse,17.49694433153825,0.9589612644643221,8
mice,MAR,0.1,age,rmse,20.812483253358657,1.5743854757176332,8
missforest,MAR,0.1,age,rmse,14.386448537874118,0.7327986392916137,8
complete_case,MAR,0.2,age,rmse,,,0
knn,MAR,0.2,age,rmse,17.882283687347822,0.8676321050386664,8
mean_mode,MAR,0.2,age,rmse,17.62116054287296,0.3698030948814558,8
mice,MAR,0.2,age,rmse,21.055173032103525,0.891892531300211,8
missforest,MAR,0.2,age,rmse,15.134362414370578,0.5696172523228505,8
complete_case,MAR,0.3,age,rmse,,,0
knn,MAR,0.3,age,rmse,18.363300328242413,0.6333324025693834,8
mean_mode,MAR,0.3,age,rmse,17.59627400867759,0.43163934806762533,8
mice,MAR,0.3,age,rmse,21.35508165292829,0.6397320199355192,8
missforest,MAR,0.3,age,rmse,15.16523109486185,0.4320820958038337,8
complete_case,MCAR,0.1,age,rmse,,,0
knn,MCAR,0.1,age,rmse,17.371893998949833,0.6978854060942908,8
mean_mode,MCAR,0.1,age,rmse,16.841285047692626,0.49410700514672634,8
mice,MCAR,0.1,age,rmse,19.996551781803586,1.579896111928327,8
missforest,MCAR,0.1,age,rmse,13.9701352623933,0.9501767497054925,8
complete_case,MCAR,0.2,age,rmse,,,0
knn,MCAR,0.2,age,rmse,18.063779079579863,1.1387249327071156,8
mean_mode,MCAR,0.2,age,rmse,16.928430840143488,0.559203990964699,8
mice,MCAR,0.2,age,rmse,21.372831708099977,0.6680933491251175,8
missforest,MCAR,0.2,age,rmse,14.08048446271973,0.44227119026057027,8
complete_case,MCAR,0.3,age,rmse,,,0
knn,MCAR,0.3,age,rmse,18.59808124966422,0.6310805578196749,8
